settlement,region_kingdom,capital,settlement_population,settlement_economy,rumored_treasure_value,demographic_breakdown,average_age,most_likely_cause_of_death,government_type,class_density,tax_rate,exports,imports,ruler,military,magic_academy,languages,religions,region_population,region_economy,area,average_temperature,annual_rainfall,magical_climate,dragon_sightings,sources,exports_json,imports_json,demographic_breakdown_json,class_density_json
Saharkhan,Tethyr,Darromar,7999,1520115,1576,"{'humans': 7935, 'halflings': 63, 'elves': 0, 'misc.': 0}",33,Disease,['Meritocracy'],"{'Aristocratic': 3, 'Wealthy': 89, 'Comfortable': 574, 'Modest': 1889, 'Poor': 2706, 'Squalid': 2005, 'Wretched': 280}",13,"[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]",Queen Zaranda Star Rhindaun and King-Consort Haedrak Rhindaun III,"The Royal Army of Tethyr, the Royal Navy of Tethyr, various mercenary companies",None,"['Common', 'Chondathan', 'Alzhedo']","['Chauntea', 'Eldath', 'Helm', 'Ilmater', 'the Seldarine (in the Forest of Tethir)', 'Siamorphe', 'Silvanus', 'Torm', 'Tyr']",3717965,235431,425497,55.3,42.9,72,1,"Empires of the Sands (1988), Lands of Intrigue (1997)","[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]","{""humans"": 7935.0, ""halflings"": 63.0, ""elves"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 3.0, ""Wealthy"": 89.0, ""Comfortable"": 574.0, ""Modest"": 1889.0, ""Poor"": 2706.0, ""Squalid"": 2005.0, ""Wretched"": 280.0}"
Saradush,Tethyr,Darromar,36451,7188273,20243,"{'humans': 14033, 'halflings': 22417, 'elves': 0, 'misc.': 0}",52,Poison,['Hierarchy'],"{'Aristocratic': 110, 'Wealthy': 463, 'Comfortable': 3595, 'Modest': 6007, 'Poor': 11730, 'Squalid': 11989, 'Wretched': 3600}",1,"[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]",Queen Zaranda Star Rhindaun and King-Consort Haedrak Rhindaun III,"The Royal Army of Tethyr, the Royal Navy of Tethyr, various mercenary companies",guilds,"['Common', 'Chondathan', 'Alzhedo']","['Chauntea', 'Eldath', 'Helm', 'Ilmater', 'the Seldarine (in the Forest of Tethir)', 'Siamorphe', 'Silvanus', 'Torm', 'Tyr']",3717965,235431,425497,61,35,71,0,"Empires of the Sands (1988), Lands of Intrigue (1997)","[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]","{""humans"": 14033.0, ""halflings"": 22417.0, ""elves"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 110.0, ""Wealthy"": 463.0, ""Comfortable"": 3595.0, ""Modest"": 6007.0, ""Poor"": 11730.0, ""Squalid"": 11989.0, ""Wretched"": 3600.0}"
Shelshyr House,Tethyr,Darromar,7201,1334805,1372,"{'humans': 3348, 'halflings': 3852, 'elves': 0, 'misc.': 0}",52,Poison,['Confederacy'],"{'Aristocratic': 2, 'Wealthy': 81, 'Comfortable': 562, 'Modest': 1546, 'Poor': 2311, 'Squalid': 1808, 'Wretched': 422}",16,"[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]",Queen Zaranda Star Rhindaun and King-Consort Haedrak Rhindaun III,"The Royal Army of Tethyr, the Royal Navy of Tethyr, various mercenary companies",None,"['Common', 'Chondathan', 'Alzhedo']","['Chauntea', 'Eldath', 'Helm', 'Ilmater', 'the Seldarine (in the Forest of Tethir)', 'Siamorphe', 'Silvanus', 'Torm', 'Tyr']",3717965,235431,425497,67.4,46.3,87,1,"Empires of the Sands (1988), Lands of Intrigue (1997)","[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]","{""humans"": 3348.0, ""halflings"": 3852.0, ""elves"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 2.0, ""Wealthy"": 81.0, ""Comfortable"": 562.0, ""Modest"": 1546.0, ""Poor"": 2311.0, ""Squalid"": 1808.0, ""Wretched"": 422.0}"
Sulduskoonar,Tethyr,Darromar,8970,1497960,1523,"{'humans': 2789, 'halflings': 4897, 'elves': 1201, 'misc.': 80}",90,Exposure to the elements,['Oligarchy'],"{'Aristocratic': 0, 'Wealthy': 117, 'Comfortable': 627, 'Modest': 1585, 'Poor': 2849, 'Squalid': 2272, 'Wretched': 638}",0,"[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]",Queen Zaranda Star Rhindaun and King-Consort Haedrak Rhindaun III,"The Royal Army of Tethyr, the Royal Navy of Tethyr, various mercenary companies",None,"['Common', 'Chondathan', 'Alzhedo']","['Chauntea', 'Eldath', 'Helm', 'Ilmater', 'the Seldarine (in the Forest of Tethir)', 'Siamorphe', 'Silvanus', 'Torm', 'Tyr']",3717965,235431,425497,46.6,35.8,69,1,"Empires of the Sands (1988), Lands of Intrigue (1997)","[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]","{""humans"": 2789.0, ""halflings"": 4897.0, ""elves"": 1201.0, ""misc."": 80.0}","{""Aristocratic"": 0.0, ""Wealthy"": 117.0, ""Comfortable"": 627.0, ""Modest"": 1585.0, ""Poor"": 2849.0, ""Squalid"": 2272.0, ""Wretched"": 638.0}"
Survale Ford,Tethyr,Darromar,441,60955,60,"{'humans': 435, 'halflings': 5, 'elves': 0, 'misc.': 0}",37,Disease,['Monarchy'],"{'Aristocratic': 0, 'Wealthy': 3, 'Comfortable': 21, 'Modest': 73, 'Poor': 142, 'Squalid': 116, 'Wretched': 8}",0,"[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]",Queen Zaranda Star Rhindaun and King-Consort Haedrak Rhindaun III,"The Royal Army of Tethyr, the Royal Navy of Tethyr, various mercenary companies",None,"['Common', 'Chondathan', 'Alzhedo']","['Chauntea', 'Eldath', 'Helm', 'Ilmater', 'the Seldarine (in the Forest of Tethir)', 'Siamorphe', 'Silvanus', 'Torm', 'Tyr']",3717965,235431,425497,63.5,31.8,88,1,"Empires of the Sands (1988), Lands of Intrigue (1997)","[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]","{""humans"": 435.0, ""halflings"": 5.0, ""elves"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 0.0, ""Wealthy"": 3.0, ""Comfortable"": 21.0, ""Modest"": 73.0, ""Poor"": 142.0, ""Squalid"": 116.0, ""Wretched"": 8.0}"
Tannitton,Tethyr,Darromar,90,6095,6,"{'humans': 15, 'halflings': 74, 'elves': 0, 'misc.': 0}",59,Wildlife attacks,['Plutocracy'],"{'Aristocratic': 0, 'Wealthy': 0, 'Comfortable': 4, 'Modest': 1, 'Poor': 28, 'Squalid': 21, 'Wretched': 0}",0,"[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]",Queen Zaranda Star Rhindaun and King-Consort Haedrak Rhindaun III,"The Royal Army of Tethyr, the Royal Navy of Tethyr, various mercenary companies",None,"['Common', 'Chondathan', 'Alzhedo']","['Chauntea', 'Eldath', 'Helm', 'Ilmater', 'the Seldarine (in the Forest of Tethir)', 'Siamorphe', 'Silvanus', 'Torm', 'Tyr']",3717965,235431,425497,67.1,48,68,1,"Empires of the Sands (1988), Lands of Intrigue (1997)","[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]","{""humans"": 15.0, ""halflings"": 74.0, ""elves"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 0.0, ""Wealthy"": 0.0, ""Comfortable"": 4.0, ""Modest"": 1.0, ""Poor"": 28.0, ""Squalid"": 21.0, ""Wretched"": 0.0}"
Toaketh,Tethyr,Darromar,7753,1451422,1497,"{'humans': 7753, 'halflings': 0, 'elves': 0, 'misc.': 0}",38,Exposure to the elements,['Militocracy'],"{'Aristocratic': 2, 'Wealthy': 143, 'Comfortable': 466, 'Modest': 1735, 'Poor': 2650, 'Squalid': 1875, 'Wretched': 369}",7,"[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]",Queen Zaranda Star Rhindaun and King-Consort Haedrak Rhindaun III,"The Royal Army of Tethyr, the Royal Navy of Tethyr, various mercenary companies",None,"['Common', 'Chondathan', 'Alzhedo']","['Chauntea', 'Eldath', 'Helm', 'Ilmater', 'the Seldarine (in the Forest of Tethir)', 'Siamorphe', 'Silvanus', 'Torm', 'Tyr']",3717965,235431,425497,48.5,38.2,81,1,"Empires of the Sands (1988), Lands of Intrigue (1997)","[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]","{""humans"": 7753.0, ""halflings"": 0.0, ""elves"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 2.0, ""Wealthy"": 143.0, ""Comfortable"": 466.0, ""Modest"": 1735.0, ""Poor"": 2650.0, ""Squalid"": 1875.0, ""Wretched"": 369.0}"
Toralth,Tethyr,Darromar,5331,803219,812,"{'humans': 5293, 'halflings': 37, 'elves': 0, 'misc.': 0}",40,Work-related accidents,['Hierarchy'],"{'Aristocratic': 0, 'Wealthy': 102, 'Comfortable': 334, 'Modest': 640, 'Poor': 1717, 'Squalid': 1412, 'Wretched': 348}",0,"[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]",Queen Zaranda Star Rhindaun and King-Consort Haedrak Rhindaun III,"The Royal Army of Tethyr, the Royal Navy of Tethyr, various mercenary companies",None,"['Common', 'Chondathan', 'Alzhedo']","['Chauntea', 'Eldath', 'Helm', 'Ilmater', 'the Seldarine (in the Forest of Tethir)', 'Siamorphe', 'Silvanus', 'Torm', 'Tyr']",3717965,235431,425497,61.1,42,71,0,"Empires of the Sands (1988), Lands of Intrigue (1997)","[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]","{""humans"": 5293.0, ""halflings"": 37.0, ""elves"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 0.0, ""Wealthy"": 102.0, ""Comfortable"": 334.0, ""Modest"": 640.0, ""Poor"": 1717.0, ""Squalid"": 1412.0, ""Wretched"": 348.0}"
Trailstone,Tethyr,Darromar,412,44676,44,"{'humans': 84, 'halflings': 327, 'elves': 0, 'misc.': 0}",59,Magic mishaps,['Bureaucracy'],"{'Aristocratic': 0, 'Wealthy': 3, 'Comfortable': 21, 'Modest': 31, 'Poor': 131, 'Squalid': 112, 'Wretched': 4}",0,"[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]",Queen Zaranda Star Rhindaun and King-Consort Haedrak Rhindaun III,"The Royal Army of Tethyr, the Royal Navy of Tethyr, various mercenary companies",None,"['Common', 'Chondathan', 'Alzhedo']","['Chauntea', 'Eldath', 'Helm', 'Ilmater', 'the Seldarine (in the Forest of Tethir)', 'Siamorphe', 'Silvanus', 'Torm', 'Tyr']",3717965,235431,425497,65.2,45.6,44,1,"Empires of the Sands (1988), Lands of Intrigue (1997)","[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]","{""humans"": 84.0, ""halflings"": 327.0, ""elves"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 0.0, ""Wealthy"": 3.0, ""Comfortable"": 21.0, ""Modest"": 31.0, ""Poor"": 131.0, ""Squalid"": 112.0, ""Wretched"": 4.0}"
Tulmene,Tethyr,Darromar,3633,604586,608,"{'humans': 334, 'halflings': 3029, 'elves': 268, 'misc.': 0}",80,Magic mishaps,['Satrapy'],"{'Aristocratic': 0, 'Wealthy': 55, 'Comfortable': 260, 'Modest': 591, 'Poor': 1216, 'Squalid': 822, 'Wretched': 150}",0,"[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]",Queen Zaranda Star Rhindaun and King-Consort Haedrak Rhindaun III,"The Royal Army of Tethyr, the Royal Navy of Tethyr, various mercenary companies",None,"['Common', 'Chondathan', 'Alzhedo']","['Chauntea', 'Eldath', 'Helm', 'Ilmater', 'the Seldarine (in the Forest of Tethir)', 'Siamorphe', 'Silvanus', 'Torm', 'Tyr']",3717965,235431,425497,55,49.3,71,1,"Empires of the Sands (1988), Lands of Intrigue (1997)","[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]","{""humans"": 334.0, ""halflings"": 3029.0, ""elves"": 268.0, ""misc."": 0.0}","{""Aristocratic"": 0.0, ""Wealthy"": 55.0, ""Comfortable"": 260.0, ""Modest"": 591.0, ""Poor"": 1216.0, ""Squalid"": 822.0, ""Wretched"": 150.0}"
Tweyar,Tethyr,Darromar,7960,1188440,1229,"{'humans': 947, 'halflings': 6996, 'elves': 0, 'misc.': 15}",56,Dueling accidents,['Meritocracy'],"{'Aristocratic': 2, 'Wealthy': 157, 'Comfortable': 527, 'Modest': 816, 'Poor': 2518, 'Squalid': 2344, 'Wretched': 586}",10,"[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]",Queen Zaranda Star Rhindaun and King-Consort Haedrak Rhindaun III,"The Royal Army of Tethyr, the Royal Navy of Tethyr, various mercenary companies",None,"['Common', 'Chondathan', 'Alzhedo']","['Chauntea', 'Eldath', 'Helm', 'Ilmater', 'the Seldarine (in the Forest of Tethir)', 'Siamorphe', 'Silvanus', 'Torm', 'Tyr']",3717965,235431,425497,63.6,39.1,75,1,"Empires of the Sands (1988), Lands of Intrigue (1997)","[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]","{""humans"": 947.0, ""halflings"": 6996.0, ""elves"": 0.0, ""misc."": 15.0}","{""Aristocratic"": 2.0, ""Wealthy"": 157.0, ""Comfortable"": 527.0, ""Modest"": 816.0, ""Poor"": 2518.0, ""Squalid"": 2344.0, ""Wretched"": 586.0}"
Upparkol,Tethyr,Darromar,1541,240279,240,"{'humans': 1537, 'halflings': 3, 'elves': 0, 'misc.': 0}",36,Starvation,['Democracy'],"{'Aristocratic': 0, 'Wealthy': 22, 'Comfortable': 115, 'Modest': 203, 'Poor': 496, 'Squalid': 381, 'Wretched': 94}",0,"[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]",Queen Zaranda Star Rhindaun and King-Consort Haedrak Rhindaun III,"The Royal Army of Tethyr, the Royal Navy of Tethyr, various mercenary companies",None,"['Common', 'Chondathan', 'Alzhedo']","['Chauntea', 'Eldath', 'Helm', 'Ilmater', 'the Seldarine (in the Forest of Tethir)', 'Siamorphe', 'Silvanus', 'Torm', 'Tyr']",3717965,235431,425497,50.7,48.2,56,1,"Empires of the Sands (1988), Lands of Intrigue (1997)","[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]","{""humans"": 1537.0, ""halflings"": 3.0, ""elves"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 0.0, ""Wealthy"": 22.0, ""Comfortable"": 115.0, ""Modest"": 203.0, ""Poor"": 496.0, ""Squalid"": 381.0, ""Wretched"": 94.0}"
Valtreth,Tethyr,Darromar,750,93805,93,"{'humans': 648, 'halflings': 101, 'elves': 0, 'misc.': 0}",44,Poison,['Feudalism'],"{'Aristocratic': 0, 'Wealthy': 1, 'Comfortable': 50, 'Modest': 93, 'Poor': 241, 'Squalid': 118, 'Wretched': 11}",0,"[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]",Queen Zaranda Star Rhindaun and King-Consort Haedrak Rhindaun III,"The Royal Army of Tethyr, the Royal Navy of Tethyr, various mercenary companies",None,"['Common', 'Chondathan', 'Alzhedo']","['Chauntea', 'Eldath', 'Helm', 'Ilmater', 'the Seldarine (in the Forest of Tethir)', 'Siamorphe', 'Silvanus', 'Torm', 'Tyr']",3717965,235431,425497,48.1,34.9,77,1,"Empires of the Sands (1988), Lands of Intrigue (1997)","[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]","{""humans"": 648.0, ""halflings"": 101.0, ""elves"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 0.0, ""Wealthy"": 1.0, ""Comfortable"": 50.0, ""Modest"": 93.0, ""Poor"": 241.0, ""Squalid"": 118.0, ""Wretched"": 11.0}"
Velen,Tethyr,Darromar,13978,2577046,3296,"{'humans': 9910, 'halflings': 4053, 'elves': 27, 'misc.': 0}",43,Starvation,['Gerontocracy'],"{'Aristocratic': 14, 'Wealthy': 347, 'Comfortable': 1296, 'Modest': 1712, 'Poor': 4424, 'Squalid': 3436, 'Wretched': 1189}",20,"[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]",Queen Zaranda Star Rhindaun and King-Consort Haedrak Rhindaun III,"The Royal Army of Tethyr, the Royal Navy of Tethyr, various mercenary companies",None,"['Common', 'Chondathan', 'Alzhedo']","['Chauntea', 'Eldath', 'Helm', 'Ilmater', 'the Seldarine (in the Forest of Tethir)', 'Siamorphe', 'Silvanus', 'Torm', 'Tyr']",3717965,235431,425497,66.6,48.5,72,1,"Empires of the Sands (1988), Lands of Intrigue (1997)","[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]","{""humans"": 9910.0, ""halflings"": 4053.0, ""elves"": 27.0, ""misc."": 0.0}","{""Aristocratic"": 14.0, ""Wealthy"": 347.0, ""Comfortable"": 1296.0, ""Modest"": 1712.0, ""Poor"": 4424.0, ""Squalid"": 3436.0, ""Wretched"": 1189.0}"
Vineshade,Tethyr,Darromar,3115,601045,605,"{'humans': 3005, 'halflings': 109, 'elves': 0, 'misc.': 0}",38,Work-related accidents,['Militocracy'],"{'Aristocratic': 0, 'Wealthy': 57, 'Comfortable': 204, 'Modest': 701, 'Poor': 1085, 'Squalid': 927, 'Wretched': 164}",0,"[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]",Queen Zaranda Star Rhindaun and King-Consort Haedrak Rhindaun III,"The Royal Army of Tethyr, the Royal Navy of Tethyr, various mercenary companies",None,"['Common', 'Chondathan', 'Alzhedo']","['Chauntea', 'Eldath', 'Helm', 'Ilmater', 'the Seldarine (in the Forest of Tethir)', 'Siamorphe', 'Silvanus', 'Torm', 'Tyr']",3717965,235431,425497,54.6,41.9,77,0,"Empires of the Sands (1988), Lands of Intrigue (1997)","[""['ambergris'"", ""'carpets'"", ""'cheese'"", ""'cloth'"", ""'fish'"", ""'fruit'"", ""'livestock'"", ""'nuts'"", ""'pearls'"", ""'pipeweed'"", ""'rugs'"", ""'silk'"", ""'tea'"", ""'vegetables'"", ""'wine'"", ""'whale oil']""]","[""['magic items'"", ""'mercenaries'"", ""'spices'"", ""'weapons']""]","{""humans"": 3005.0, ""halflings"": 109.0, ""elves"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 0.0, ""Wealthy"": 57.0, ""Comfortable"": 204.0, ""Modest"": 701.0, ""Poor"": 1085.0, ""Squalid"": 927.0, ""Wretched"": 164.0}"
