settlement,region_kingdom,capital,settlement_population,settlement_economy,rumored_treasure_value,demographic_breakdown,average_age,most_likely_cause_of_death,government_type,class_density,tax_rate,exports,imports,ruler,military,magic_academy,languages,religions,region_population,region_economy,area,average_temperature,annual_rainfall,magical_climate,dragon_sightings,sources,canon_status,source_confidence,hidden_economy,trade_balance,risk_index,geo_lat,geo_lon
Neverwinter Settlement 0182,Neverwinter,Neverwinter,412,842383,77871,"{'humans': 324, 'elves': 44, 'dwarves': 15, 'halflings': 22, 'half-orcs': 14, 'misc.': 0}",38,crime,['Patriarchy'],"{'poor': 0.6322, 'middle': 0.3041, 'wealthy': 0.0589, 'aristocrat': 0.0048}",0,[['wine']],"[['coal', 'jewelry', 'magic items', 'ore', 'silk']]",Ruler NEV-85,professional guard,None,"Elvish, Halfling","Chauntea, Tyr",177268,765621383,73.7,42.0,51.7,6,0,synthetic generator v2,synthetic,0.64,1010877,-4,21.0,0.09552,72.257
Neverwinter Settlement 0183,Neverwinter,Neverwinter,10123,20454569,800461,"{'humans': 6595, 'elves': 579, 'dwarves': 750, 'halflings': 585, 'half-orcs': 284, 'misc.': 1330}",116,old age,['Monarchy'],"{'poor': 0.6697, 'middle': 0.258, 'wealthy': 0.0673, 'aristocrat': 0.005}",4,[['cloth']],"[['coal', 'jewelry', 'spices']]",Ruler NEV-273,mercenary heavy,None,"Common, Draconic, Dwarvish","Mystra, Tempus, Tyr",177268,765621383,53.91,44.3,43.1,9,0,synthetic generator v2,synthetic,0.38,28073179,-2,34.7,-22.34782,37.50393
Neverwinter Settlement 0184,Neverwinter,Neverwinter,3811,16616508,789638,"{'humans': 2873, 'elves': 304, 'dwarves': 254, 'halflings': 158, 'half-orcs': 126, 'misc.': 96}",116,famine,['Theocracy'],"{'poor': 0.6265, 'middle': 0.2267, 'wealthy': 0.0668, 'aristocrat': 0.0801}",0,"[['grain', 'salt']]","[['glass', 'mercenaries', 'ore', 'spices']]",Ruler NEV-370,professional guard,local academy,"Common, Draconic, Halfling","Lathander, Torm",177268,765621383,62.6,46.3,28.8,1,0,synthetic generator v2,derived,0.91,22404889,-2,3.5,8.17472,-20.8955
Amn Settlement 0185,Amn,Athkatla,2927,14244697,299617,"{'humans': 2560, 'elves': 319, 'dwarves': 113, 'halflings': 275, 'half-orcs': 150, 'misc.': 0}",59,disease,['Theocracy'],"{'poor': 0.5892, 'middle': 0.2753, 'wealthy': 0.0345, 'aristocrat': 0.101}",5,"[['armor', 'books', 'grain', 'horses', 'salt']]","[['glass', 'magic items', 'ore', 'silk', 'spices']]",Ruler AMN-488,mercenary heavy,None,"Elvish, Orc","Selune, Tyr",169970,832884482,39.2,61.8,69.7,0,1,synthetic generator v2,synthetic,0.92,15198459,0,4.9,-23.26473,95.68208
Sembia Settlement 0186,Sembia,Selgaunt,342,2108703,1035,"{'humans': 285, 'elves': 8, 'dwarves': 26, 'halflings': 7, 'half-orcs': 13, 'misc.': 3}",174,famine,['Monarchy'],"{'poor': 0.4926, 'middle': 0.3228, 'wealthy': 0.0506, 'aristocrat': 0.134}",0,"[['horses', 'timber', 'weapons']]","[['jewelry', 'ore', 'spices']]",Ruler SEM-288,small militia,guilds,Orc,"Chauntea, Selune, Torm",158418,730633739,27.35,60.1,49.7,1,0,synthetic generator v2,synthetic,0.55,1984703,0,3.5,18.30297,-33.41617
Amn Settlement 0187,Amn,Athkatla,3287,16092193,1356895,"{'humans': 2399, 'elves': 299, 'dwarves': 213, 'halflings': 209, 'half-orcs': 154, 'misc.': 13}",150,famine,['Dictatorship'],"{'poor': 0.4655, 'middle': 0.3833, 'wealthy': 0.0645, 'aristocrat': 0.0867}",0,"[['gems', 'timber', 'weapons', 'wine']]","[['jewelry', 'ore']]",Ruler AMN-938,naval patrol,local academy,Elvish,Lathander,169970,832884482,335.75,60.1,85.6,5,0,synthetic generator v2,derived,0.94,20136784,2,17.5,27.31057,-111.72956
Amn Settlement 0188,Amn,Athkatla,1166,3731275,114558,"{'humans': 834, 'elves': 28, 'dwarves': 69, 'halflings': 105, 'half-orcs': 28, 'misc.': 102}",62,war,['Patriarchy'],"{'poor': 0.5785, 'middle': 0.3041, 'wealthy': 0.0829, 'aristocrat': 0.0345}",0,"[['armor', 'gems', 'horses', 'weapons', 'wine']]","[['glass', 'mercenaries', 'ore', 'spices']]",Ruler AMN-132,mercenary heavy,guilds,"Draconic, Halfling","Lathander, Selune, Tyr",169970,832884482,401.36,73.6,94.0,8,0,synthetic generator v2,derived,0.58,3780539,1,28.0,15.77562,-24.652
Sembia Settlement 0189,Sembia,Selgaunt,1367,10786359,765870,"{'humans': 1093, 'elves': 98, 'dwarves': 54, 'halflings': 62, 'half-orcs': 32, 'misc.': 28}",168,war,['Dictatorship'],"{'poor': 0.4814, 'middle': 0.2527, 'wealthy': 0.0815, 'aristocrat': 0.1844}",13,"[['books', 'salt', 'wine']]","[['glass', 'mercenaries', 'silk', 'spices']]",Ruler SEM-146,small militia,None,"Common, Elvish, Halfling",Tyr,158418,730633739,30.87,56.6,34.2,3,0,synthetic generator v2,synthetic,0.9,10965782,-1,20.9,-19.9962,100.80132
Calimshan Settlement 0190,Calimshan,Memnon,1935,6977078,431700,"{'humans': 1277, 'elves': 116, 'dwarves': 61, 'halflings': 166, 'half-orcs': 99, 'misc.': 216}",112,famine,['Dictatorship'],"{'poor': 0.5813, 'middle': 0.3277, 'wealthy': 0.0321, 'aristocrat': 0.0588}",0,"[['timber', 'wine']]","[['coal', 'magic items', 'ore', 'parchment', 'spices']]",Ruler CAL-321,professional guard,arcanum,"Draconic, Orc","Tempus, Torm",175132,771448209,190.57,85.3,43.4,5,0,synthetic generator v2,derived,0.36,6679004,-3,17.5,38.69889,42.66698
Sembia Settlement 0191,Sembia,Selgaunt,860,5762011,588562,"{'humans': 689, 'elves': 42, 'dwarves': 75, 'halflings': 53, 'half-orcs': 24, 'misc.': 0}",124,crime,['Theocracy'],"{'poor': 0.5195, 'middle': 0.2374, 'wealthy': 0.0994, 'aristocrat': 0.1437}",0,"[['grain', 'horses']]","[['parchment', 'spices']]",Ruler SEM-224,naval patrol,local academy,Dwarvish,Selune,158418,730633739,168.97,56.1,44.6,0,0,synthetic generator v2,synthetic,0.92,7644166,0,0.0,23.49463,102.76968
Cormyr Settlement 0192,Cormyr,Suzail,362,3145566,40647,"{'humans': 279, 'elves': 26, 'dwarves': 25, 'halflings': 34, 'half-orcs': 11, 'misc.': 0}",154,arcane mishap,['Satrapy'],"{'poor': 0.472, 'middle': 0.2672, 'wealthy': 0.0424, 'aristocrat': 0.2185}",16,"[['armor', 'cloth', 'salt', 'wine']]","[['coal', 'glass', 'ore', 'parchment', 'silk']]",Ruler COR-565,mercenary heavy,None,"Draconic, Elvish, Orc",Lathander,142577,750902532,363.22,60.0,46.3,8,0,synthetic generator v2,synthetic,0.54,3844290,-1,40.8,18.52445,-17.74805
Cormyr Settlement 0193,Cormyr,Suzail,1186,2307563,123853,"{'humans': 842, 'elves': 28, 'dwarves': 46, 'halflings': 100, 'half-orcs': 43, 'misc.': 127}",163,disease,['Satrapy'],"{'poor': 0.6277, 'middle': 0.3269, 'wealthy': 0.0404, 'aristocrat': 0.005}",4,[['fish']],"[['jewelry', 'magic items', 'ore', 'parchment', 'silk']]",Ruler COR-432,small militia,guilds,Orc,"Chauntea, Tyr",142577,750902532,219.38,62.2,52.4,8,0,synthetic generator v2,synthetic,0.9,2074256,-4,31.2,-37.00952,84.2823
Sembia Settlement 0194,Sembia,Selgaunt,2446,14786566,52567,"{'humans': 1835, 'elves': 280, 'dwarves': 78, 'halflings': 161, 'half-orcs': 136, 'misc.': 0}",45,war,['Theocracy'],"{'poor': 0.4698, 'middle': 0.3672, 'wealthy': 0.0304, 'aristocrat': 0.1325}",0,"[['fish', 'horses', 'timber', 'weapons']]","[['glass', 'ore', 'silk', 'spices']]",Ruler SEM-970,mercenary heavy,local academy,"Draconic, Dwarvish, Halfling",Mystra,158418,730633739,301.17,51.3,47.4,1,0,synthetic generator v2,derived,0.61,11447474,0,3.5,-19.50663,90.6976
Waterdeep Settlement 0195,Waterdeep,Waterdeep,1594,3521579,166033,"{'humans': 1352, 'elves': 178, 'dwarves': 143, 'halflings': 58, 'half-orcs': 83, 'misc.': 0}",177,monster attack,['Monarchy'],"{'poor': 0.5785, 'middle': 0.3506, 'wealthy': 0.066, 'aristocrat': 0.0049}",9,"[['cloth', 'weapons', 'wine']]","[['coal', 'mercenaries']]",Ruler WAT-440,professional guard,guilds,"Dwarvish, Elvish","Selune, Tyr",236326,985356857,99.32,58.9,53.1,0,0,synthetic generator v2,derived,0.46,3893776,1,7.2,45.81558,-56.24364
Calimshan Settlement 0196,Calimshan,Memnon,4993,28207803,2703858,"{'humans': 3922, 'elves': 336, 'dwarves': 288, 'halflings': 397, 'half-orcs': 245, 'misc.': 0}",75,arcane mishap,['Magocracy'],"{'poor': 0.5278, 'middle': 0.2758, 'wealthy': 0.084, 'aristocrat': 0.1124}",6,"[['armor', 'cloth', 'fish', 'timber']]","[['coal', 'jewelry', 'magic items', 'mercenaries', 'parchment']]",Ruler CAL-114,professional guard,arcanum,Halfling,Selune,175132,771448209,424.01,81.4,38.9,5,0,synthetic generator v2,derived,0.41,35617094,-1,22.3,23.21359,118.03892
Neverwinter Settlement 0197,Neverwinter,Neverwinter,5481,17083024,409340,"{'humans': 3820, 'elves': 571, 'dwarves': 382, 'halflings': 543, 'half-orcs': 161, 'misc.': 4}",180,arcane mishap,['Theocracy'],"{'poor': 0.6647, 'middle': 0.2529, 'wealthy': 0.0343, 'aristocrat': 0.0481}",0,"[['armor', 'cloth', 'fish', 'salt']]","[['coal', 'jewelry', 'magic items', 'parchment', 'spices']]",Ruler NEV-26,small militia,guilds,"Draconic, Elvish","Lathander, Mystra",177268,765621383,427.23,46.8,30.1,3,0,synthetic generator v2,derived,0.49,13790856,-1,10.5,26.40496,-33.66344
Calimshan Settlement 0198,Calimshan,Memnon,199,424762,16042,"{'humans': 130, 'elves': 20, 'dwarves': 8, 'halflings': 10, 'half-orcs': 8, 'misc.': 23}",47,arcane mishap,['Democracy'],"{'poor': 0.6136, 'middle': 0.3144, 'wealthy': 0.0673, 'aristocrat': 0.0047}",20,"[['books', 'fish', 'grain']]","[['glass', 'magic items', 'parchment']]",Ruler CAL-406,professional guard,guilds,"Common, Draconic","Selune, Tempus, Tyr",175132,771448209,358.4,80.4,26.7,5,0,synthetic generator v2,derived,0.4,468461,0,33.5,-34.70127,11.58257
Cormyr Settlement 0199,Cormyr,Suzail,821,3006269,116063,"{'humans': 621, 'elves': 96, 'dwarves': 32, 'halflings': 46, 'half-orcs': 33, 'misc.': 0}",55,arcane mishap,['Dictatorship'],"{'poor': 0.491, 'middle': 0.3802, 'wealthy': 0.0859, 'aristocrat': 0.0429}",4,"[['fish', 'grain', 'horses', 'weapons', 'wine']]","[['ore', 'spices']]",Ruler COR-568,mercenary heavy,None,Common,"Tempus, Torm",142577,750902532,165.93,56.4,50.4,6,0,synthetic generator v2,derived,0.73,4043624,3,24.2,-0.31196,-1.50805
Cormyr Settlement 0200,Cormyr,Suzail,601,1159212,18537,"{'humans': 503, 'elves': 52, 'dwarves': 26, 'halflings': 50, 'half-orcs': 26, 'misc.': 0}",131,war,['Patriarchy'],"{'poor': 0.5844, 'middle': 0.3882, 'wealthy': 0.0224, 'aristocrat': 0.005}",0,"[['horses', 'salt', 'timber', 'wine']]",[['glass']],Ruler COR-274,small militia,guilds,"Elvish, Halfling","Chauntea, Lathander, Selune",142577,750902532,270.91,56.7,56.4,4,0,synthetic generator v2,derived,0.39,1470504,3,14.0,-0.57654,86.82296
Waterdeep Settlement 0201,Waterdeep,Waterdeep,80,176569,2430,"{'humans': 52, 'elves': 4, 'dwarves': 5, 'halflings': 2, 'half-orcs': 2, 'misc.': 15}",31,old age,['Satrapy'],"{'poor': 0.6016, 'middle': 0.3174, 'wealthy': 0.0767, 'aristocrat': 0.0043}",0,"[['weapons', 'wine']]","[['magic items', 'mercenaries', 'ore', 'parchment']]",Ruler WAT-927,small militia,local academy,Halfling,"Tempus, Tyr",236326,985356857,173.23,54.4,34.0,0,0,synthetic generator v2,synthetic,0.51,245183,-2,0.0,-11.98266,-60.49407
Tethyr Settlement 0202,Tethyr,Darromar,8389,49055143,362337,"{'humans': 7335, 'elves': 194, 'dwarves': 471, 'halflings': 172, 'half-orcs': 285, 'misc.': 0}",147,crime,['Monarchy'],"{'poor': 0.531, 'middle': 0.2589, 'wealthy': 0.0925, 'aristocrat': 0.1175}",10,"[['fish', 'grain', 'weapons', 'wine']]","[['jewelry', 'mercenaries', 'ore', 'parchment', 'silk']]",Ruler TET-693,small militia,local academy,"Elvish, Orc",Tyr,193641,937694481,302.52,70.4,80.2,2,0,synthetic generator v2,synthetic,0.73,64339271,-1,15.0,-8.85469,-40.6304
Waterdeep Settlement 0203,Waterdeep,Waterdeep,2470,16336356,159812,"{'humans': 1925, 'elves': 203, 'dwarves': 149, 'halflings': 214, 'half-orcs': 49, 'misc.': 0}",146,war,['Dictatorship'],"{'poor': 0.5292, 'middle': 0.2393, 'wealthy': 0.0875, 'aristocrat': 0.144}",16,"[['books', 'cloth', 'horses', 'timber', 'weapons']]","[['glass', 'jewelry', 'mercenaries', 'silk']]",Ruler WAT-238,professional guard,None,Dwarvish,"Chauntea, Torm, Tyr",236326,985356857,313.96,52.2,50.9,8,0,synthetic generator v2,derived,0.52,14363090,1,40.8,42.29272,-39.30414
Baldurs Gate Settlement 0204,Baldurs Gate,Baldur's Gate,169,381244,6299,"{'humans': 134, 'elves': 16, 'dwarves': 15, 'halflings': 11, 'half-orcs': 7, 'misc.': 0}",123,crime,['Dictatorship'],"{'poor': 0.5916, 'middle': 0.3246, 'wealthy': 0.0791, 'aristocrat': 0.0047}",0,"[['cloth', 'grain', 'horses']]","[['ore', 'parchment']]",Ruler BAL-674,professional guard,None,Dwarvish,"Chauntea, Mystra, Tempus",241116,953675704,395.35,60.5,68.4,6,0,synthetic generator v2,synthetic,0.55,291343,1,21.0,43.45265,52.11197
Calimshan Settlement 0205,Calimshan,Memnon,4121,7569259,640359,"{'humans': 3244, 'elves': 231, 'dwarves': 340, 'halflings': 383, 'half-orcs': 218, 'misc.': 0}",55,crime,['Dictatorship'],"{'poor': 0.6236, 'middle': 0.349, 'wealthy': 0.0228, 'aristocrat': 0.0047}",0,"[['armor', 'fish', 'grain', 'horses']]","[['coal', 'mercenaries', 'ore', 'parchment', 'spices']]",Ruler CAL-893,professional guard,arcanum,Draconic,Tempus,175132,771448209,19.33,78.2,28.5,4,0,synthetic generator v2,derived,0.51,9590363,-1,14.0,-2.08202,35.06421
Calimshan Settlement 0206,Calimshan,Memnon,1620,5478926,7299,"{'humans': 1322, 'elves': 79, 'dwarves': 143, 'halflings': 133, 'half-orcs': 91, 'misc.': 0}",129,famine,['Dictatorship'],"{'poor': 0.5399, 'middle': 0.3832, 'wealthy': 0.0277, 'aristocrat': 0.0492}",18,"[['armor', 'cloth', 'fish', 'gems', 'grain']]","[['coal', 'spices']]",Ruler CAL-513,small militia,arcanum,"Draconic, Elvish, Orc","Chauntea, Selune, Torm",175132,771448209,124.05,81.2,21.3,3,7,synthetic generator v2,synthetic,0.67,6058839,3,31.2,35.47264,73.65718
Baldurs Gate Settlement 0207,Baldurs Gate,Baldur's Gate,319,620214,24334,"{'humans': 283, 'elves': 32, 'dwarves': 11, 'halflings': 15, 'half-orcs': 17, 'misc.': 0}",117,war,['Magocracy'],"{'poor': 0.6089, 'middle': 0.3508, 'wealthy': 0.0359, 'aristocrat': 0.0045}",0,"[['armor', 'cloth', 'fish', 'weapons', 'wine']]",[['parchment']],Ruler BAL-884,naval patrol,local academy,"Common, Halfling",Torm,241116,953675704,64.37,63.7,59.4,8,0,synthetic generator v2,derived,0.78,684675,4,28.0,55.48242,-25.94577
Neverwinter Settlement 0208,Neverwinter,Neverwinter,1378,5076576,224604,"{'humans': 1101, 'elves': 93, 'dwarves': 87, 'halflings': 32, 'half-orcs': 37, 'misc.': 28}",106,disease,['Theocracy'],"{'poor': 0.5681, 'middle': 0.3275, 'wealthy': 0.0472, 'aristocrat': 0.0573}",1,"[['books', 'cloth', 'grain', 'horses']]","[['glass', 'mercenaries', 'ore', 'parchment', 'spices']]",Ruler NEV-226,mercenary heavy,guilds,"Common, Draconic","Lathander, Selune, Torm",177268,765621383,86.43,48.3,31.0,4,0,synthetic generator v2,synthetic,0.89,6916992,-1,14.8,-0.2164,88.10747
Cormyr Settlement 0209,Cormyr,Suzail,1324,2947934,273135,"{'humans': 1173, 'elves': 47, 'dwarves': 108, 'halflings': 84, 'half-orcs': 37, 'misc.': 0}",156,arcane mishap,['Satrapy'],"{'poor': 0.6347, 'middle': 0.2714, 'wealthy': 0.0891, 'aristocrat': 0.0048}",10,"[['books', 'cloth', 'timber', 'weapons', 'wine']]","[['glass', 'spices']]",Ruler COR-660,mercenary heavy,None,Draconic,"Chauntea, Lathander, Mystra",142577,750902532,464.64,54.8,49.1,5,0,synthetic generator v2,derived,0.55,4103690,3,25.5,-30.31446,28.2128
Amn Settlement 0210,Amn,Athkatla,186,1727691,87715,"{'humans': 145, 'elves': 5, 'dwarves': 11, 'halflings': 8, 'half-orcs': 3, 'misc.': 14}",171,old age,['Monarchy'],"{'poor': 0.4763, 'middle': 0.2526, 'wealthy': 0.0296, 'aristocrat': 0.2415}",12,"[['cloth', 'gems', 'grain', 'weapons']]","[['glass', 'jewelry', 'magic items', 'ore', 'silk']]",Ruler AMN-215,naval patrol,local academy,"Draconic, Elvish, Orc",Tempus,169970,832884482,210.73,69.2,57.4,7,0,synthetic generator v2,synthetic,0.37,1467785,-1,34.1,-1.14807,-16.91577
Amn Settlement 0211,Amn,Athkatla,2114,9419197,452615,"{'humans': 1495, 'elves': 177, 'dwarves': 64, 'halflings': 76, 'half-orcs': 95, 'misc.': 207}",128,old age,['Democracy'],"{'poor': 0.5416, 'middle': 0.3375, 'wealthy': 0.0378, 'aristocrat': 0.0831}",0,"[['armor', 'gems']]","[['coal', 'glass', 'ore', 'parchment', 'spices']]",Ruler AMN-874,mercenary heavy,local academy,"Elvish, Halfling","Tempus, Torm, Tyr",169970,832884482,48.35,67.8,67.6,8,0,synthetic generator v2,derived,0.74,7365392,-3,28.0,8.19046,56.80692
Tethyr Settlement 0212,Tethyr,Darromar,182,1473443,134027,"{'humans': 129, 'elves': 5, 'dwarves': 12, 'halflings': 10, 'half-orcs': 10, 'misc.': 16}",26,war,['Dictatorship'],"{'poor': 0.4856, 'middle': 0.2439, 'wealthy': 0.0784, 'aristocrat': 0.1922}",10,"[['gems', 'grain', 'horses']]",[['parchment']],Ruler TET-446,small militia,arcanum,"Common, Dwarvish, Halfling","Lathander, Selune, Tempus",193641,937694481,43.96,74.2,79.9,0,0,synthetic generator v2,derived,0.42,1774879,2,8.0,50.93943,25.92358
Calimshan Settlement 0213,Calimshan,Memnon,1639,11092234,620582,"{'humans': 1297, 'elves': 142, 'dwarves': 72, 'halflings': 110, 'half-orcs': 53, 'misc.': 0}",68,war,['Dictatorship'],"{'poor': 0.5468, 'middle': 0.2645, 'wealthy': 0.0254, 'aristocrat': 0.1633}",11,"[['books', 'fish', 'salt', 'wine']]","[['glass', 'jewelry', 'magic items', 'mercenaries', 'silk']]",Ruler CAL-396,small militia,local academy,"Common, Draconic, Orc",Tempus,175132,771448209,313.61,73.5,30.1,5,0,synthetic generator v2,synthetic,0.62,14256742,-1,26.3,61.38022,-4.78681
Waterdeep Settlement 0214,Waterdeep,Waterdeep,1759,10558586,57544,"{'humans': 1378, 'elves': 92, 'dwarves': 70, 'halflings': 90, 'half-orcs': 31, 'misc.': 98}",122,famine,['Magocracy'],"{'poor': 0.4765, 'middle': 0.3325, 'wealthy': 0.0669, 'aristocrat': 0.124}",17,"[['cloth', 'salt', 'timber', 'weapons']]","[['mercenaries', 'parchment']]",Ruler WAT-129,small militia,guilds,Orc,"Torm, Tyr",236326,985356857,428.47,44.6,62.8,7,0,synthetic generator v2,derived,0.66,10483304,2,38.1,40.03755,61.25473
Amn Settlement 0215,Amn,Athkatla,355,1499921,86487,"{'humans': 296, 'elves': 15, 'dwarves': 13, 'halflings': 26, 'half-orcs': 6, 'misc.': 0}",94,war,['Democracy'],"{'poor': 0.6514, 'middle': 0.2303, 'wealthy': 0.0341, 'aristocrat': 0.0842}",8,"[['armor', 'cloth', 'grain', 'horses', 'salt']]","[['jewelry', 'ore', 'spices']]",Ruler AMN-245,professional guard,arcanum,Elvish,"Lathander, Mystra, Tempus",169970,832884482,187.83,66.9,69.6,3,0,synthetic generator v2,synthetic,0.39,1636768,2,16.9,-6.28252,11.41896
Cormyr Settlement 0216,Cormyr,Suzail,247,554462,7929,"{'humans': 174, 'elves': 14, 'dwarves': 19, 'halflings': 9, 'half-orcs': 7, 'misc.': 24}",163,war,['Democracy'],"{'poor': 0.5783, 'middle': 0.344, 'wealthy': 0.0731, 'aristocrat': 0.0046}",3,"[['books', 'gems', 'weapons', 'wine']]","[['glass', 'mercenaries']]",Ruler COR-143,naval patrol,arcanum,"Dwarvish, Elvish, Orc",Torm,142577,750902532,503.09,53.7,44.1,0,0,synthetic generator v2,synthetic,0.89,569022,2,2.4,-25.4519,47.13016
Waterdeep Settlement 0217,Waterdeep,Waterdeep,272,1404246,96991,"{'humans': 197, 'elves': 18, 'dwarves': 10, 'halflings': 25, 'half-orcs': 3, 'misc.': 19}",90,disease,['Merchant Council'],"{'poor': 0.5005, 'middle': 0.3671, 'wealthy': 0.0263, 'aristocrat': 0.1061}",0,"[['armor', 'fish', 'gems', 'grain', 'timber']]","[['coal', 'jewelry', 'mercenaries', 'parchment']]",Ruler WAT-648,naval patrol,guilds,Dwarvish,Selune,236326,985356857,214.12,48.7,59.0,7,0,synthetic generator v2,synthetic,0.9,1694512,1,24.5,-20.65999,28.58977
Baldurs Gate Settlement 0218,Baldurs Gate,Baldur's Gate,266,579656,3646,"{'humans': 219, 'elves': 12, 'dwarves': 18, 'halflings': 13, 'half-orcs': 10, 'misc.': 0}",82,monster attack,['Monarchy'],"{'poor': 0.639, 'middle': 0.2736, 'wealthy': 0.0825, 'aristocrat': 0.0049}",8,"[['fish', 'gems', 'horses', 'timber']]","[['jewelry', 'magic items', 'spices']]",Ruler BAL-107,small militia,None,"Common, Draconic, Elvish","Chauntea, Tyr",241116,953675704,479.74,51.7,35.6,3,0,synthetic generator v2,derived,0.69,494456,1,16.9,30.20697,-26.35232
Sembia Settlement 0219,Sembia,Selgaunt,5647,15268830,825115,"{'humans': 4324, 'elves': 632, 'dwarves': 314, 'halflings': 507, 'half-orcs': 163, 'misc.': 0}",74,disease,['Magocracy'],"{'poor': 0.6337, 'middle': 0.2895, 'wealthy': 0.0475, 'aristocrat': 0.0293}",0,"[['salt', 'timber', 'weapons', 'wine']]","[['ore', 'spices']]",Ruler SEM-38,naval patrol,local academy,"Halfling, Orc","Chauntea, Lathander, Mystra",158418,730633739,55.07,56.5,29.6,2,0,synthetic generator v2,derived,0.93,12478325,2,7.0,40.68333,52.05752
Sembia Settlement 0220,Sembia,Selgaunt,260,574543,10279,"{'humans': 172, 'elves': 29, 'dwarves': 19, 'halflings': 15, 'half-orcs': 5, 'misc.': 20}",85,war,['Monarchy'],"{'poor': 0.679, 'middle': 0.2729, 'wealthy': 0.0278, 'aristocrat': 0.0202}",20,"[['cloth', 'grain', 'timber']]","[['glass', 'ore', 'silk']]",Ruler SEM-988,mercenary heavy,None,"Draconic, Elvish, Orc","Chauntea, Tempus",158418,730633739,361.06,55.9,58.0,7,0,synthetic generator v2,synthetic,0.58,688203,0,40.5,49.91876,70.65431
Calimshan Settlement 0221,Calimshan,Memnon,1452,5047052,423847,"{'humans': 1113, 'elves': 29, 'dwarves': 81, 'halflings': 110, 'half-orcs': 62, 'misc.': 57}",130,old age,['Dictatorship'],"{'poor': 0.5195, 'middle': 0.3702, 'wealthy': 0.0679, 'aristocrat': 0.0425}",1,"[['armor', 'fish']]","[['glass', 'jewelry', 'silk']]",Ruler CAL-713,naval patrol,guilds,Elvish,Lathander,175132,771448209,532.3,75.9,13.2,7,0,synthetic generator v2,synthetic,0.92,6357624,-1,25.3,-3.54372,36.15119
Tethyr Settlement 0222,Tethyr,Darromar,1512,4992251,316331,"{'humans': 1200, 'elves': 97, 'dwarves': 110, 'halflings': 116, 'half-orcs': 88, 'misc.': 0}",87,war,['Magocracy'],"{'poor': 0.6472, 'middle': 0.2265, 'wealthy': 0.0835, 'aristocrat': 0.0428}",0,"[['cloth', 'gems', 'grain', 'salt']]","[['coal', 'ore', 'parchment', 'spices']]",Ruler TET-255,naval patrol,local academy,"Draconic, Elvish","Chauntea, Tempus",193641,937694481,530.21,67.1,59.3,5,0,synthetic generator v2,synthetic,0.88,4422478,0,17.5,18.9037,-10.75006
Waterdeep Settlement 0223,Waterdeep,Waterdeep,80,151577,4052,"{'humans': 60, 'elves': 5, 'dwarves': 5, 'halflings': 3, 'half-orcs': 3, 'misc.': 4}",125,crime,['Magocracy'],"{'poor': 0.6157, 'middle': 0.3502, 'wealthy': 0.0294, 'aristocrat': 0.0047}",0,"[['armor', 'books', 'grain']]","[['glass', 'spices']]",Ruler WAT-925,professional guard,None,"Dwarvish, Halfling, Orc","Chauntea, Lathander, Mystra",236326,985356857,528.64,44.7,31.7,7,0,synthetic generator v2,derived,0.35,176192,1,24.5,-26.79275,66.56411
Amn Settlement 0224,Amn,Athkatla,1341,6188697,346565,"{'humans': 910, 'elves': 57, 'dwarves': 98, 'halflings': 72, 'half-orcs': 15, 'misc.': 189}",52,arcane mishap,['Magocracy'],"{'poor': 0.6156, 'middle': 0.2247, 'wealthy': 0.0732, 'aristocrat': 0.0865}",0,"[['books', 'cloth', 'weapons']]","[['glass', 'mercenaries']]",Ruler AMN-39,professional guard,None,"Draconic, Dwarvish, Elvish","Chauntea, Lathander, Tyr",169970,832884482,57.49,66.6,91.7,10,0,synthetic generator v2,synthetic,0.43,5263603,1,35.0,-24.28273,107.71549
Neverwinter Settlement 0225,Neverwinter,Neverwinter,766,5246478,197766,"{'humans': 684, 'elves': 76, 'dwarves': 28, 'halflings': 53, 'half-orcs': 27, 'misc.': 0}",144,disease,['Dictatorship'],"{'poor': 0.5589, 'middle': 0.2067, 'wealthy': 0.0785, 'aristocrat': 0.1559}",0,"[['books', 'fish']]","[['coal', 'jewelry', 'silk', 'spices']]",Ruler NEV-977,small militia,local academy,Draconic,Torm,177268,765621383,418.9,52.6,53.8,6,0,synthetic generator v2,synthetic,0.64,5255158,-2,21.0,46.33179,-45.83753
Calimshan Settlement 0226,Calimshan,Memnon,1448,4994619,216850,"{'humans': 1096, 'elves': 127, 'dwarves': 81, 'halflings': 89, 'half-orcs': 64, 'misc.': 0}",172,old age,['Confederacy'],"{'poor': 0.6071, 'middle': 0.291, 'wealthy': 0.0502, 'aristocrat': 0.0517}",18,"[['books', 'gems', 'horses', 'timber', 'wine']]","[['coal', 'parchment', 'spices']]",Ruler CAL-826,mercenary heavy,None,"Halfling, Orc","Mystra, Selune, Torm",175132,771448209,338.76,73.1,27.2,1,0,synthetic generator v2,synthetic,0.36,6595902,2,17.9,45.04006,-88.94751
